Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Arrests,Bail,Calls for Service,Complaints,Death in Custody,Diversion Program,Employee Demographics,Investigative Stops,Officer-Involved Shootings,Stops,Traffic Citations,Traffic Stops,Traffic Stop Arrests,Traffic Warnings,Use of Force,Vehicle Pursuits,Comments
Fairfax County Police Department,Virginia,https://policedata-fcpdgis.hub.arcgis.com/pages/crime-stats,12/23/2021,sowdm,,Added,,,,,,,,,,Added,,,Added,,,
Virginia Community Policing Act,Virginia,https://data.virginia.gov/Public-Safety/Community-Policing-Data-July-1-2020-to-September-3/segb-5y2c,12/23/2021,sowdm,,,,,,,,,,,Added,,,,,,,
Montgomery County Police Department,Maryland,data.montgomerycountymd.gov,12/23/2021,sowdm,,,,,Added,,,,,,,,Added,,,,,
Prince William County Police Department,Virginia,,12/29/2021,sowdm,X,,,,,,,,,,,,,,,,,
Anne Arundel County Police Department,Maryland,,12/29/2021,sowdm,X,,,,,,,,,,,,,,,,,
Charlotte-Mecklenburg Police Department,North Carolina,data.charlottenc.gov,12/29/2021,sowdm,,,,,,,,Added,,Code Issue,,,Code Issue or Bug,,,,,Shootings requires combo of multiple tables. Issue with date format for traffic stops
Charlottesville Police Department,Virginia,,12/29/2021,sowdm,X,,,,,,,,,,,,,,,,,
Burlington Police Department,Vermont,data.burlingtonvt.gov,12/29/2021,sowdm,,Code Issue,Code Issue,Code Issue,,,,,,,,,Code Issue,,,Code Issue,,Need loader for format
California Department of Justice,California,https://openjustice.doj.ca.gov/data,12/29/2021,sowdm,,,,,,Code Issue,,,,,Added,,,,,Code Issue,,Need loader for deathes in custody. Use of force requires combo of multiple tables
Baltimore Police Department,Maryland,data.baltimorecity.gov / https://www.projectcomport.org/,12/29/2021,sowdm,,Added,,Added,URL Issue,,,,,URL Issue,,,,,,URL Issue,,Had issues with errors when downloading Project Comport CSVs
Indianapolis Metropolitan Police Department,Indiana,https://www.projectcomport.org/,12/29/2021,sowdm,,,,,URL Issue,,,,,URL Issue,,,,,,URL Issue,,Had issues with errors when downloading Project Comport CSVs
Witchita Police Department,Kansas,https://ict-opendata-cityofwichita.hub.arcgis.com/search?tags=safety / https://www.projectcomport.org/,12/29/2021,sowdm,,,,,URL Issue,,,,,,,X,,,,URL Issue,,Had issues with errors when downloading Project Comport CSVs
New York Police Department,New York,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Police+Department+%28NYPD%29,12/29/2021,sowdm,,X,,,,,,X,,,X,,,,,X,,
Stanford Open Policing Project,Various,https://openpolicing.stanford.edu/data/,12/29/2021,sowdm,,,,,,,,,,,,,Added,,,,,
New Jersey Office of the Attorney General,New Jersey,https://www.njoag.gov/force/#policy,12/29/2021,sowdm,,,,,,,,,,,,,,,,X,,
Austin Police Department,Texas,https://data.austintexas.gov/browse?category=Public+Safety,12/29/2021,sowdm,,,,,,,,,,,,,,X,,X,,
Bloomington Police Department,Indiana,https://data.bloomington.in.gov/group/public-safety,12/29/2021,sowdm,,,,X,X,,,X,,X,,X,,,,X,X,
Chandler Police Department,Arizona,https://data.chandlerpd.com/,12/29/2021,sowdm,,X,,X,,,,,,,,,,,,,,
Chapel Hill Police Department,North Carolina,https://opendata-townofchapelhill.hub.arcgis.com/search?tags=community%20safety%2Cjustice,12/29/2021,sowdm,,X,,,,,,X,,,,,,,,,,
Richmond Police Department,Virginia,data.richmondgov.com,2/6/2021,sowdm,,,,,,,,,,,,,,,,,,
Asheville Police Department,North Carolina,https://data-avl.opendata.arcgis.com/search?tags=publicsafety,2/6/2021,sowdm,,X,,X,X,,,,,,,X,,,,X,,
Denver Police Department,Colorado,https://www.denvergov.org/opendata/dataset/city-and-county-of-denver-police-pedestrian-stops-and-vehicle-stops,2/6/2021,sowdm,,,,,,,,,,,Added,,,,,,,
